task_id,pattern,difficulty,config,model,model_key,pass,reward,steps,delegations,tokens_in,tokens_cached,tokens_out,cost_usd,wallclock_s,terminal_reason,commit,run_id
2147_hard_15_parallel_subassemblies_branch_assigned,15_parallel_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,23.22,51,0,3021246,2665792,79572,1.386772,2559.38,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2156_hard_16_serial_subassemblies_branch_assigned,16_serial_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,22.37,41,0,3151954,2750272,91155,1.510657,3069.36,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2167_hard_17_shared_component_subassemblies_branch_assigned,17_shared_component_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,23.24,40,0,1713914,1316672,50929,1.010305,1540.06,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2180_medium_18_manufacture_only_policy_forbidden,18_manufacture_only_policy_forbidden,medium,A_pi,z-ai/glm-5.1,big,True,99.0,22,0,804588,616256,43642,0.554325,529.88,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2190_medium_19_manufacture_only_no_buy_route,19_manufacture_only_no_buy_route,medium,A_pi,z-ai/glm-5.1,big,False,23.13,22,0,1034059,890368,69508,0.664648,793.86,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2192_medium_19_manufacture_only_no_buy_route,19_manufacture_only_no_buy_route,medium,A_pi,z-ai/glm-5.1,big,True,100.0,35,0,803229,680768,32191,0.441077,823.66,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2196_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,z-ai/glm-5.1,big,False,13.43,44,0,1403979,1127104,43024,0.78298,1177.29,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2204_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,z-ai/glm-5.1,big,False,20.9,40,0,2804953,2544192,69770,1.200189,1341.57,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2208_medium_21_single_bom_lowest_cost_screened_mixed_seeded,21_single_bom_lowest_cost_screened_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,34,0,1970864,1781312,56357,0.878836,645.71,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2214_medium_21_single_bom_lowest_cost_screened_mixed_seeded,21_single_bom_lowest_cost_screened_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,35,0,1406614,1155840,40535,0.74696,837.52,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2217_medium_22_single_bom_split_by_capacity_invoicing,22_single_bom_split_by_capacity_invoicing,medium,A_pi,z-ai/glm-5.1,big,False,22.37,38,0,1437747,1190592,43586,0.762614,560.76,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2221_medium_22_single_bom_split_by_capacity_invoicing,22_single_bom_split_by_capacity_invoicing,medium,A_pi,z-ai/glm-5.1,big,False,40.19,28,0,1170196,1003840,44146,0.619325,1021.35,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2233_hard_23_restricted_subassembly_qualified_workcenters_screened_all_seeded,23_restricted_subassembly_qualified_workcenters_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,3.87,54,0,2718239,2344960,70683,1.298957,1465.71,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2235_hard_23_restricted_subassembly_qualified_workcenters_screened_all_seeded,23_restricted_subassembly_qualified_workcenters_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,19.92,31,0,1880078,1538112,84562,1.125661,1761.98,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2244_hard_24_single_subassembly_shared_overflow_capacity_screened_invoicing,24_single_subassembly_shared_overflow_capacity_screened_invoicing,hard,A_pi,z-ai/glm-5.1,big,False,67.73,43,0,1777188,1540352,45743,0.839998,1358.17,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2249_hard_24_single_subassembly_shared_overflow_capacity_screened_invoicing,24_single_subassembly_shared_overflow_capacity_screened_invoicing,hard,A_pi,z-ai/glm-5.1,big,False,23.46,21,0,875364,509312,32303,0.708324,1030.61,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2258_hard_25_shared_component_subassemblies_branch_assigned_screened_all_seeded,25_shared_component_subassemblies_branch_assigned_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,22.09,41,0,2337900,2077504,52990,1.024075,1509.77,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2259_hard_25_shared_component_subassemblies_branch_assigned_screened_all_seeded,25_shared_component_subassemblies_branch_assigned_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,True,100.0,33,0,1161382,958784,37528,0.62824,927.92,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2269_easy_26_buy_only_net_30_no_adjacent_data,26_buy_only_net_30_no_adjacent_data,easy,A_pi,z-ai/glm-5.1,big,True,100.0,14,0,175676,131392,17117,0.154327,354.86,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2279_easy_repair_plan_easy,repair_plan_easy,easy,A_pi,z-ai/glm-5.1,big,True,100.0,21,0,336338,263680,20002,0.232458,282.3,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2280_medium_repair_plan_medium,repair_plan_medium,medium,A_pi,z-ai/glm-5.1,big,True,100.0,25,0,486868,309376,33340,0.42806,484.0,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2290_hard_repair_plan_hard,repair_plan_hard,hard,A_pi,z-ai/glm-5.1,big,False,22.86,52,0,3193876,2686528,97395,1.65359,1754.88,finish,1a6af41c1e956a7e8002d1842644d340816ea274,A_pi__big__dev40__20260902T002458Z
2004_easy_01_buy_only_baseline,01_buy_only_baseline,easy,A_pi,z-ai/glm-5.1,big,False,20.97,11,0,128837,84480,12813,0.126398,184.92,finish,d423c98fa6d4162b6258102ab7650c8dd4243a9d,A_pi__big__dev5__20260901T062640Z
2014_easy_02_buy_only_immediate_invoicing,02_buy_only_immediate_invoicing,easy,A_pi,z-ai/glm-5.1,big,True,100.0,10,0,144411,111104,13927,0.123116,199.63,finish,d423c98fa6d4162b6258102ab7650c8dd4243a9d,A_pi__big__dev5__20260901T062640Z
2017_easy_03_buy_only_fixed_downpayment,03_buy_only_fixed_downpayment,easy,A_pi,z-ai/glm-5.1,big,False,22.84,26,0,434856,374784,21957,0.25034,334.48,finish,d423c98fa6d4162b6258102ab7650c8dd4243a9d,A_pi__big__dev5__20260901T062640Z
2024_easy_04_buy_only_percentage_downpayment,04_buy_only_percentage_downpayment,easy,A_pi,z-ai/glm-5.1,big,True,100.0,25,0,597134,475136,27269,0.372885,379.26,finish,d423c98fa6d4162b6258102ab7650c8dd4243a9d,A_pi__big__dev5__20260901T062640Z
2035_medium_05_screened_buy_only_all_seeded,05_screened_buy_only_all_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,17,0,364256,229888,14389,0.280078,200.84,finish,d423c98fa6d4162b6258102ab7650c8dd4243a9d,A_pi__big__dev5__20260901T062640Z
2003_easy_01_buy_only_baseline,01_buy_only_baseline,easy,A_pi,z-ai/glm-5.1,big,True,100.0,11,0,165991,134144,12416,0.120684,165.98,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2020_easy_03_buy_only_fixed_downpayment,03_buy_only_fixed_downpayment,easy,A_pi,z-ai/glm-5.1,big,True,100.0,23,0,379434,303616,18374,0.239338,257.7,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2021_easy_03_buy_only_fixed_downpayment,03_buy_only_fixed_downpayment,easy,A_pi,z-ai/glm-5.1,big,False,97.5,22,0,652092,507392,32976,0.431637,460.14,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2031_easy_04_buy_only_percentage_downpayment,04_buy_only_percentage_downpayment,easy,A_pi,z-ai/glm-5.1,big,True,100.0,21,0,291543,247040,18736,0.188076,320.62,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2040_medium_05_screened_buy_only_all_seeded,05_screened_buy_only_all_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,12,0,233705,111616,11262,0.224548,160.98,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2046_medium_06_screened_buy_only_mixed_seeded,06_screened_buy_only_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,10,0,170885,140288,10227,0.111879,132.77,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2049_medium_06_screened_buy_only_mixed_seeded,06_screened_buy_only_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,14,0,344134,219648,31893,0.334546,397.64,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2055_medium_07_screened_buy_only_mixed_seeded_invoicing,07_screened_buy_only_mixed_seeded_invoicing,medium,A_pi,z-ai/glm-5.1,big,True,100.0,15,0,293098,214016,19128,0.22547,225.28,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2060_medium_07_screened_buy_only_mixed_seeded_invoicing,07_screened_buy_only_mixed_seeded_invoicing,medium,A_pi,z-ai/glm-5.1,big,True,100.0,23,0,394815,292352,16525,0.262953,257.75,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2063_medium_07_screened_buy_only_mixed_seeded_invoicing,07_screened_buy_only_mixed_seeded_invoicing,medium,A_pi,z-ai/glm-5.1,big,True,100.0,11,0,170403,134976,11418,0.121438,333.41,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2077_medium_09_single_bom_lowest_cost,09_single_bom_lowest_cost,medium,A_pi,z-ai/glm-5.1,big,False,98.69,44,0,2369954,1953152,73903,1.274864,1600.94,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2080_medium_09_single_bom_lowest_cost,09_single_bom_lowest_cost,medium,A_pi,z-ai/glm-5.1,big,False,20.0,23,0,884356,713216,47963,0.572462,739.99,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2087_medium_10_single_bom_split_by_capacity,10_single_bom_split_by_capacity,medium,A_pi,z-ai/glm-5.1,big,False,54.65,39,0,1577799,1354368,38048,0.749115,791.18,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2091_medium_10_single_bom_split_by_capacity,10_single_bom_split_by_capacity,medium,A_pi,z-ai/glm-5.1,big,True,100.0,45,0,1551213,1160768,44107,0.938244,1507.1,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2092_medium_10_single_bom_split_by_capacity,10_single_bom_split_by_capacity,medium,A_pi,z-ai/glm-5.1,big,True,100.0,40,0,1775692,1466880,50693,0.933097,1693.82,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2094_medium_10_single_bom_split_by_capacity,10_single_bom_split_by_capacity,medium,A_pi,z-ai/glm-5.1,big,False,22.66,37,0,2926600,2499008,80229,1.441241,2260.46,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2102_hard_11_restricted_subassembly_qualified_workcenters,11_restricted_subassembly_qualified_workcenters,hard,A_pi,z-ai/glm-5.1,big,False,19.09,46,0,2020289,1587136,83133,1.246369,2395.61,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2112_medium_12_single_subassembly_lowest_cost,12_single_subassembly_lowest_cost,medium,A_pi,z-ai/glm-5.1,big,False,20.38,31,0,1160786,854400,46597,0.7705,1917.93,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2121_medium_13_single_subassembly_qualified_workcenters,13_single_subassembly_qualified_workcenters,medium,A_pi,z-ai/glm-5.1,big,False,20.0,36,0,1730413,1273856,45562,1.05377,1137.71,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2126_medium_13_single_subassembly_qualified_workcenters,13_single_subassembly_qualified_workcenters,medium,A_pi,z-ai/glm-5.1,big,False,20.0,70,0,5119551,4802176,99840,1.918968,1481.18,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2129_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,z-ai/glm-5.1,big,False,20.0,32,0,1788902,1533888,63584,0.93204,1135.35,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2137_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,z-ai/glm-5.1,big,False,20.38,36,0,1624062,1363712,54813,0.864209,786.28,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2139_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,z-ai/glm-5.1,big,False,20.0,32,0,1356592,1122624,60167,0.795755,867.68,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2159_hard_16_serial_subassemblies_branch_assigned,16_serial_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,False,22.92,45,0,2698564,2128704,67847,1.484814,1004.38,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2166_hard_17_shared_component_subassemblies_branch_assigned,17_shared_component_subassemblies_branch_assigned,hard,A_pi,z-ai/glm-5.1,big,True,99.99,28,0,1352223,995072,58064,0.912791,1627.91,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2176_medium_18_manufacture_only_policy_forbidden,18_manufacture_only_policy_forbidden,medium,A_pi,z-ai/glm-5.1,big,True,99.27,27,0,1191580,822464,45929,0.839422,1758.91,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2179_medium_18_manufacture_only_policy_forbidden,18_manufacture_only_policy_forbidden,medium,A_pi,z-ai/glm-5.1,big,False,98.53,29,0,1267753,933888,48339,0.830622,718.92,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2184_medium_19_manufacture_only_no_buy_route,19_manufacture_only_no_buy_route,medium,A_pi,z-ai/glm-5.1,big,False,94.75,37,0,1837937,1488960,56773,1.012949,1256.77,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2187_medium_19_manufacture_only_no_buy_route,19_manufacture_only_no_buy_route,medium,A_pi,z-ai/glm-5.1,big,True,100.0,19,0,628833,522752,35467,0.396435,436.89,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2188_medium_19_manufacture_only_no_buy_route,19_manufacture_only_no_buy_route,medium,A_pi,z-ai/glm-5.1,big,False,20.18,48,0,2202377,1866368,68605,1.131777,2852.46,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2197_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,z-ai/glm-5.1,big,True,99.12,17,0,650844,303616,51509,0.712529,988.5,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2201_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,z-ai/glm-5.1,big,False,20.18,30,0,1445002,1203904,49739,0.782463,704.47,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2203_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,z-ai/glm-5.1,big,False,98.21,27,0,902332,742144,40189,0.534647,601.74,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2209_medium_21_single_bom_lowest_cost_screened_mixed_seeded,21_single_bom_lowest_cost_screened_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,26,0,684323,526848,36298,0.465441,478.25,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2216_medium_21_single_bom_lowest_cost_screened_mixed_seeded,21_single_bom_lowest_cost_screened_mixed_seeded,medium,A_pi,z-ai/glm-5.1,big,True,100.0,27,0,1367958,988480,62398,0.956543,877.92,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2225_medium_22_single_bom_split_by_capacity_invoicing,22_single_bom_split_by_capacity_invoicing,medium,A_pi,z-ai/glm-5.1,big,False,89.61,23,0,912850,554816,41827,0.746585,584.12,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2228_medium_22_single_bom_split_by_capacity_invoicing,22_single_bom_split_by_capacity_invoicing,medium,A_pi,z-ai/glm-5.1,big,True,100.0,27,0,1325416,1065344,44938,0.754936,618.75,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2230_hard_23_restricted_subassembly_qualified_workcenters_screened_all_seeded,23_restricted_subassembly_qualified_workcenters_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,3.08,27,0,1691192,1244416,119061,1.325613,2573.53,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2234_hard_23_restricted_subassembly_qualified_workcenters_screened_all_seeded,23_restricted_subassembly_qualified_workcenters_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,20.77,34,0,1751689,1444864,51993,0.93059,1756.4,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2241_hard_24_single_subassembly_shared_overflow_capacity_screened_invoicing,24_single_subassembly_shared_overflow_capacity_screened_invoicing,hard,A_pi,z-ai/glm-5.1,big,True,100.0,15,0,385191,295424,22771,0.272409,288.86,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2247_hard_24_single_subassembly_shared_overflow_capacity_screened_invoicing,24_single_subassembly_shared_overflow_capacity_screened_invoicing,hard,A_pi,z-ai/glm-5.1,big,False,97.11,35,0,1100903,836096,31865,0.655489,438.6,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2251_hard_25_shared_component_subassemblies_branch_assigned_screened_all_seeded,25_shared_component_subassemblies_branch_assigned_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,22.67,16,0,595725,407744,53695,0.5449,666.23,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2252_hard_25_shared_component_subassemblies_branch_assigned_screened_all_seeded,25_shared_component_subassemblies_branch_assigned_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,23.2,28,0,1445351,1224896,65769,0.824844,1174.57,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2260_hard_25_shared_component_subassemblies_branch_assigned_screened_all_seeded,25_shared_component_subassemblies_branch_assigned_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,23.82,25,0,1253705,995264,52509,0.766463,708.27,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2266_easy_26_buy_only_net_30_no_adjacent_data,26_buy_only_net_30_no_adjacent_data,easy,A_pi,z-ai/glm-5.1,big,True,100.0,28,0,329138,267264,12806,0.191213,197.82,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2273_easy_repair_plan_easy,repair_plan_easy,easy,A_pi,z-ai/glm-5.1,big,False,21.09,20,0,596744,424960,27861,0.426218,405.43,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2277_easy_repair_plan_easy,repair_plan_easy,easy,A_pi,z-ai/glm-5.1,big,True,100.0,14,0,284774,207360,27261,0.254017,368.54,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2289_medium_repair_plan_medium,repair_plan_medium,medium,A_pi,z-ai/glm-5.1,big,True,99.01,25,0,748263,455744,35713,0.616642,538.14,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2294_hard_repair_plan_hard,repair_plan_hard,hard,A_pi,z-ai/glm-5.1,big,False,20.38,54,0,3507426,3081664,103485,1.66737,1384.64,finish,446b4c100427bee64c032d56e7bb0ca182871c12,A_pi__big__eval100__20260901T071739Z
2002_easy_01_buy_only_baseline,01_buy_only_baseline,easy,A_pi,z-ai/glm-5.1,big,True,100.0,22,0,193400,33920,13313,0.261602,12939.62,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2005_easy_01_buy_only_baseline,01_buy_only_baseline,easy,A_pi,z-ai/glm-5.1,big,False,20.97,29,0,381449,128256,24384,0.445596,13646.57,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
2008_easy_02_buy_only_immediate_invoicing,02_buy_only_immediate_invoicing,easy,A_pi,z-ai/glm-5.1,big,False,0.0,12,0,21448,14336,1786,0.019388,5816.18,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__big__eval100__20260901T115715Z
